stkcd,day,open_morning,close_morning,volume_morning,high_morning,low_morning,open_afternoon,close_afternoon,volume_afternoon,high_afternoon,low_afternoon,rtn_morning,rtn_afternoon,lh_rtnDiff,lh_volDiff,std_morning,std_afternoon,lh_stdDiff,daily_return,volatility_morning,volatility_afternoon,avg_volatility_morning,avg_volatility_afternoon,intraDSRtn_byT,intraDSVol_byT,intraDSStd_byP,intraDSVol_byP,intraDSStd_byV,intraDSRtn_byV,intraDSRtn_byT_20d_mean,intraDSVol_byT_20d_mean,intraDSStd_byP_20d_mean,intraDSVol_byP_20d_mean,intraDSStd_byV_20d_mean,intraDSRtn_byV_20d_mean,avg_intraDSRtn_byT,intraDS2,intraDS2_final,cumulative_return,intraDSVol_byTN,intraDSVol_byPN,intraDS2Rtn_byVN
000001.XSHE,2022-12-01,1657.91,1635.61,1312148.0,1692.61,1626.93,1628.17,1623.22,305936.0,1629.41,1619.5,-0.0134506698192302,-0.0030402230725292,0.0104104467467009,0.2331566256245484,0.0396161432164592,0.0060865880098515,0.1536390853747409,-0.0340912564731201,0.0396161432164592,0.0060865880098515,0.0119523396421939,0.0041029185570148,0.6309020254231147,0.6218539952151937,0.7334839618445101,0.6218539952151937,0.7334839618445101,0.6309020254231147,0.6309020254231147,0.6218539952151937,0.7334839618445101,0.6218539952151937,0.7334839618445101,0.6309020254231147,0.7347249966273811,0.07602530506120642,0.00013487195818814507,0.9659087435268799,0.0,0.0,0.0
000001.XSHE,2022-12-02,1628.17,1579.85,910072.0,1629.41,1572.41,1602.15,1598.44,136144.0,1603.39,1598.44,-0.0296774906797201,-0.0023156383609524,0.0273618523187677,0.1495969549662004,0.0350086293200341,0.0030895983522142,0.0882524798092037,0.0352944899832262,0.0350086293200341,0.0030895983522142,0.0119523396421939,0.0041029185570148,0.8549742834206504,0.7397401683711611,0.8375889648382782,0.7397401683711611,0.8375889648382782,0.8549742834206504,0.7429381544218825,0.6807970817931774,0.7855364633413942,0.6807970817931774,0.7855364633413942,0.7429381544218825,0.7347249966273811,0.0756423129074494,0.00013419251465672725,1.0,0.05894308657798364,0.05894308657798364,0.11203612899876791
000001.XSHE,2022-12-05,1621.98,1635.61,705372.0,1640.56,1612.07,1676.5,1676.5,379124.0,1678.98,1672.78,0.0084033095352593,0.0,-0.0084033095352593,0.5374809320472034,0.0175649514790564,0.0036981807336713,0.2105431795858279,0.0212092124650741,0.0175649514790564,0.0036981807336713,0.0119523396421939,0.0041029185570148,0.9988114070975171,0.3008291409069205,0.651844336166377,0.3008291409069205,0.651844336166377,0.9988114070975171,0.8282292386470941,0.5541411014977584,0.7409724209497218,0.5541411014977584,0.7409724209497218,0.8282292386470941,0.7347249966273811,0.1523388182183583,0.0002702552091653759,1.021209212465074,-0.25331196059083794,-0.25331196059083794,0.17058216845042307
000001.XSHE,2022-12-06,1652.96,1670.3,653014.0,1680.22,1641.8,1656.67,1664.11,195782.0,1665.35,1655.43,0.0104902719969025,0.0044909366379544,-0.005999335358948,0.2998128677179968,0.0232431516794114,0.0059879155172726,0.2576206359560364,-0.0229958690055678,0.0232431516794114,0.0059879155172726,0.0119523396421939,0.0041029185570148,0.4001902384974253,0.5386830286601412,0.5901028182752377,0.5386830286601412,0.5901028182752377,0.4001902384974253,0.7212194886096769,0.550276583288354,0.7032550202811008,0.550276583288354,0.7032550202811008,0.7212194886096769,0.7347249966273811,0.29476369700526345,0.0005229226898316387,0.9977256191879481,-0.011593554628212877,-0.011593554628212877,-0.3210292501122516
000001.XSHE,2022-12-07,1651.72,1631.89,394468.0,1656.67,1631.89,1623.22,1629.41,277266.0,1631.89,1623.22,-0.0120056668200421,0.0038134079175958,0.015819074737638,0.7028859121652453,0.015002542803865,0.0053412353223839,0.3560220018840977,0.0098719889208218,0.015002542803865,0.0053412353223839,0.0119523396421939,0.0041029185570148,0.9993682511349686,0.1744768018266981,0.4746689986279052,0.1744768018266981,0.4746689986279052,0.9993682511349686,0.7768492411147353,0.4751166269960228,0.6575378159504617,0.4751166269960228,0.6575378159504617,0.7768492411147353,0.7347249966273811,0.1526110137035252,0.0002707380949369605,1.0075751554465917,-0.3006398251693247,-0.3006398251693247,0.22251901002023333
000001.XSHE,2022-12-08,1629.41,1648.0,331612.0,1649.24,1625.7,1656.67,1655.43,180984.0,1662.87,1654.19,0.0114090376271165,-0.000748489439659,-0.0121575270667756,0.5457703581293801,0.0144469470544552,0.0052394260776135,0.3626666629194671,0.0112803398058252,0.0144469470544552,0.0052394260776135,0.0119523396421939,0.0041029185570148,0.999178140311904,0.2938532489466587,0.4674729157039812,0.2938532489466587,0.4674729157039812,0.999178140311904,0.8139040576475968,0.4449060639877955,0.6258603325760482,0.4449060639877955,0.6258603325760482,0.8139040576475968,0.7347249966273811,0.1525181037334646,0.000270573268901903,1.0189409455799365,-0.15105281504113677,-0.15105281504113677,0.18527408266430723
000001.XSHE,2022-12-09,1660.39,1666.59,728878.0,1703.76,1660.39,1697.56,1697.56,376564.0,1702.52,1691.37,0.003734062479297,0.0,-0.003734062479297,0.5166351570496022,0.0261203693108245,0.0065682509012936,0.2514608741987299,0.0029701366262848,0.0261203693108245,0.0065682509012936,0.0119523396421939,0.0041029185570148,0.9973291044005554,0.318708715605896,0.5979493410637823,0.318708715605896,0.5979493410637823,0.9973291044005554,0.8401076357551622,0.4268778713618099,0.6218730480742959,0.4268778713618099,0.6218730480742959,0.8401076357551622,0.7347249966273811,0.15161338868308938,0.00026896826790456194,1.021967339402425,-0.1081691557559139,-0.1081691557559139,0.15722146864539321
000001.XSHE,2022-12-12,1682.69,1671.54,417852.0,1682.69,1661.63,1628.17,1624.46,403150.0,1629.41,1618.26,-0.0066262948017757,-0.0022786318381987,0.004347662963577,0.9648152934531844,0.0125156743072104,0.0068481792441821,0.5471682209113394,-0.0200114864137262,0.0125156743072104,0.0068481792441821,0.0119523396421939,0.0041029185570148,0.48768353786358,0.0179073863398882,0.2925331838601092,0.0179073863398882,0.2925331838601092,0.48768353786358,0.7960546235187145,0.3757565607340696,0.5807055650475226,0.3757565607340696,0.5807055650475226,0.7960546235187145,0.7347249966273811,0.20209236999721542,0.0003585200171767,1.0015162538747013,-0.3578491743941814,-0.3578491743941814,-0.3083710856551345
000001.XSHE,2022-12-13,1629.41,1638.09,404234.0,1648.0,1628.17,1641.8,1640.56,142814.0,1643.04,1638.09,0.0053270815816768,-0.0007552686076257,-0.0060823501893025,0.3532953685241716,0.0121700492816418,0.0030149835546351,0.2477379906080721,0.0,0.0121700492816418,0.0030149835546351,0.0119523396421939,0.0041029185570148,0.998358597308218,0.4778739708311177,0.6025038462009538,0.4778739708311177,0.6025038462009538,0.998358597308218,0.8185328428286593,0.3871029396337417,0.5831275962867928,0.3871029396337417,0.5831275962867928,0.8185328428286593,0.7347249966273811,0.15211734761661888,0.0002698623113833328,1.0015162538747013,0.090771031197376,0.090771031197376,0.17982575447955862
000001.XSHE,2022-12-14,1639.33,1638.09,346078.0,1643.04,1620.74,1641.8,1639.33,244424.0,1643.04,1633.13,-0.0007564065807372,-0.0015044463393836,-0.0007480397586463,0.7062685290599229,0.0136031183471296,0.0060360579851382,0.443726050976534,-0.0151334786244956,0.0136031183471296,0.0060360579851382,0.0119523396421939,0.0041029185570148,0.3294091625302355,0.1721484431861001,0.3851082729388879,0.1721484431861001,0.3851082729388879,0.3294091625302355,0.7696204747988169,0.3656074899889775,0.5633256639520023,0.3656074899889775,0.5633256639520023,0.7696204747988169,0.7347249966273811,0.38088432907247854,0.0006757041653936882,0.9863598290546036,-0.19345904680287743,-0.19345904680287743,-0.4402113122685814
000001.XSHE,2022-12-15,1628.17,1613.3,421094.0,1640.56,1603.39,1624.46,1623.22,181508.0,1624.46,1619.5,-0.0091329529471738,-0.0007633305837016,0.0083696223634721,0.4310391504034728,0.022829311435538,0.0030533223348066,0.1337457042201273,0.0107543544288105,0.022829311435538,0.0030533223348066,0.0119523396421939,0.0041029185570148,0.8448801548417303,0.3975858028948197,0.7637689265655627,0.3975858028948197,0.7637689265655627,0.8448801548417303,0.7764622638936273,0.368514609344054,0.5815477787350533,0.368514609344054,0.5815477787350533,0.7764622638936273,0.7347249966273811,0.069735440377297,0.00012371348449344104,0.9969674922505977,0.029071193550765706,0.029071193550765706,0.06841789094810302
000001.XSHE,2022-12-16,1613.3,1630.65,373128.0,1636.85,1613.3,1649.24,1652.96,188824.0,1652.96,1645.52,0.0107543544288105,0.0022555843903858,-0.0084987700384246,0.5060569027250702,0.0145974090373768,0.0045111687807717,0.3090390061154592,0.0060773311256247,0.0145974090373768,0.0045111687807717,0.0119523396421939,0.0041029185570148,0.6527503820443602,0.3279710722565633,0.5275622670547474,0.3279710722565633,0.5275622670547474,0.6527503820443602,0.7661529404061883,0.3651359812534299,0.5770489860950277,0.3651359812534299,0.5770489860950277,0.7661529404061883,0.7347249966273811,0.05908142589689581,0.00010481283300141848,1.0030263938224884,-0.037164908996866586,-0.037164908996866586,-0.11340255836182811
000001.XSHE,2022-12-19,1651.72,1640.56,455074.0,1669.06,1629.41,1614.54,1615.78,360798.0,1617.02,1604.63,-0.0067565931271644,0.0007680206126822,0.0075246137398466,0.7928336929818007,0.0240052793451674,0.007674012412204,0.3196801962543694,-0.0166162773687033,0.0240052793451674,0.007674012412204,0.0119523396421939,0.0041029185570148,0.9986727919512164,0.115552439596952,0.515356009152978,0.115552439596952,0.515356009152978,0.9986727919512164,0.7840390828327289,0.3459372472798546,0.5723033724841009,0.3459372472798546,0.5723033724841009,0.7840390828327289,0.7347249966273811,0.1522710334307853,0.00027013495621765047,0.9863598290546036,-0.2303848076829026,-0.2303848076829026,0.21463370911848745
000001.XSHE,2022-12-20,1607.11,1613.3,233932.0,1620.74,1603.39,1586.04,1581.09,232368.0,1589.76,1576.13,0.003851634300079,-0.0031209805553453,-0.0069726148554244,0.9933142964622196,0.0107957762692037,0.0085937302968399,0.7960270834210039,-0.0161284324056282,0.0107957762692037,0.0085937302968399,0.0119523396421939,0.0041029185570148,0.9985678717490438,0.0033540639072838,0.113510411456454,0.0033540639072838,0.113510411456454,0.9985678717490438,0.7993625677553229,0.3214670198960996,0.5395324466964118,0.3214670198960996,0.5395324466964118,0.7993625677553229,0.7347249966273811,0.15221971874355855,0.00027004392189237535,0.9704513912240694,-0.3181129559888158,-0.3181129559888158,0.19920530399372094
000001.XSHE,2022-12-21,1592.24,1587.28,259390.0,1599.67,1578.61,1599.67,1597.2,119286.0,1599.67,1594.72,-0.0031151082751344,-0.0015440684641207,0.0015710398110136,0.4598712363622344,0.0132266492488569,0.0030943882175698,0.2339510301777519,0.0210800866891789,0.0132266492488569,0.0030943882175698,0.0119523396421939,0.0041029185570148,0.3364704098273874,0.3699838384167472,0.6204297217563106,0.3699838384167472,0.6204297217563106,0.3364704098273874,0.7685030905601272,0.3247014744641427,0.5449255983670718,0.3247014744641427,0.5449255983670718,0.7685030905601272,0.7347249966273811,0.3717817184269504,0.0006595557668913967,0.9909085906787071,0.04528236395260449,0.04528236395260449,-0.4320326807327398
000001.XSHE,2022-12-22,1610.83,1620.74,309864.0,1625.7,1608.35,1600.91,1604.63,115926.0,1605.87,1598.44,0.0061521079195197,0.0023236784079055,-0.0038284295116142,0.3741189683215862,0.0107708448439624,0.0046411103684779,0.4308956665622652,-0.0130002344608018,0.0107708448439624,0.0046411103684779,0.0119523396421939,0.0041029185570148,0.4511578967338745,0.4554780525504244,0.3974680506489771,0.4554780525504244,0.3974680506489771,0.4511578967338745,0.7486690159459863,0.3328750105945354,0.5357095016346908,0.3328750105945354,0.5357095016346908,0.7486690159459863,0.7347249966273811,0.23911695691992332,0.0004242031280218663,0.9780265466706612,0.122603041955889,0.122603041955889,-0.2975111192121118
000001.XSHE,2022-12-23,1592.24,1599.67,191254.0,1607.11,1586.04,1605.87,1608.35,103678.0,1610.83,1604.63,0.0046663819524694,0.0015443342238163,-0.0031220477286531,0.5420958515900322,0.013232929709089,0.0038608355595409,0.2917596967880141,-0.0054198678477435,0.013232929709089,0.0038608355595409,0.0119523396421939,0.0041029185570148,0.5018791470594238,0.2969362429205058,0.5479550264138322,0.2969362429205058,0.5479550264138322,0.5018791470594238,0.7341519648350121,0.3307609654372395,0.5364298266216991,0.3307609654372395,0.5364298266216991,0.7341519648350121,0.7347249966273811,0.18829305063077925,0.00033403946792909787,0.9727257720361213,-0.033824722516733685,-0.033824722516733685,-0.23227281777558828
000001.XSHE,2022-12-26,1609.59,1591.0,263504.0,1615.78,1583.57,1584.8,1582.33,221012.0,1584.8,1574.89,-0.0115495250343255,-0.0015585562847046,0.0099909687496208,0.8387424858825672,0.0200113072273063,0.0062531549722362,0.3124810838795944,0.0171338780641106,0.0200113072273063,0.0062531549722362,0.0119523396421939,0.0041029185570148,0.7616181441966721,0.0876998901978944,0.5236321166379425,0.0876998901978944,0.5236321166379425,0.7616181441966721,0.7356778636884377,0.317257572368387,0.5357188427337126,0.317257572368387,0.5357188427337126,0.7356778636884377,0.7347249966273811,0.017972460400945654,3.188386979549688e-05,0.9893923368040061,-0.22955768217049258,-0.22955768217049258,0.02594028050823438
000001.XSHE,2022-12-27,1594.72,1618.26,488624.0,1620.74,1594.72,1628.17,1624.46,124096.0,1629.41,1620.74,0.0147612119995986,-0.0022786318381987,-0.0170398438377973,0.2539703330167981,0.0163163439349854,0.0053249967755209,0.3263596793950355,0.0022987653405509,0.0163163439349854,0.0053249967755209,0.0119523396421939,0.0041029185570148,0.9994134843641306,0.5949340644895722,0.5076520344133172,0.5949340644895722,0.5076520344133172,0.9994134843641306,0.7495586858292637,0.3318721245852915,0.5342416422957971,0.3318721245852915,0.5342416422957971,0.7495586858292637,0.7347249966273811,0.152633116851339,0.00027077730681286644,0.9916667176160577,0.26306193990428073,0.26306193990428073,0.24985479853486692
000001.XSHE,2022-12-28,1630.65,1621.98,261096.0,1631.89,1610.83,1629.41,1628.17,147498.0,1631.89,1626.93,-0.0053168981694416,-0.0007610116545252,0.0045558865149163,0.5649186506112694,0.0129150952074326,0.003044046618101,0.2356968004656431,-0.0145131259325022,0.0129150952074326,0.003044046618101,0.0119523396421939,0.0041029185570148,0.7483498682882517,0.2780217036892851,0.6181326897321686,0.2780217036892851,0.6181326897321686,0.7483498682882517,0.749498244952213,0.3291796035404911,0.5384361946676156,0.3291796035404911,0.5384361946676156,0.749498244952213,0.7347249966273811,0.009186845596759315,1.62978347039783e-05,0.9772745336602248,-0.051157899851206,-0.051157899851206,-0.0011483766639612814
000001.XSHE,2022-12-29,1619.5,1598.44,370150.0,1620.74,1592.24,1610.83,1614.54,161772.0,1617.02,1608.35,-0.0130040135844396,0.0023031604824841,0.0153071740669238,0.4370444414426583,0.0175980240815066,0.0053823184321126,0.3058478842388216,0.0123995895998598,0.0175980240815066,0.0053823184321126,0.0119523396421939,0.0041029185570148,0.9993471380584756,0.3917454062740074,0.5313407419727446,0.3917454062740074,0.5313407419727446,0.9993471380584756,0.767920500583981,0.3176741740934318,0.5283290336740274,0.3176741740934318,0.5283290336740274,0.767920500583981,0.7347249966273811,0.1526006964364655,0.0002707197916889779,0.989392336804006,0.0740712321805756,0.0740712321805756,0.23142663747449466
000001.XSHE,2022-12-30,1615.78,1618.26,292640.0,1628.17,1614.54,1633.13,1630.65,128978.0,1635.61,1629.41,0.0015348624193887,-0.001518556391714,-0.0030534188111028,0.440739475123018,0.0084355543452697,0.0037963909792851,0.4500464135370067,0.0306254866337918,0.0084355543452697,0.0037963909792851,0.0119523396421939,0.0041029185570148,0.9967356732407084,0.388176026631022,0.37895638666833,0.388176026631022,0.37895638666833,0.9967356732407084,0.7750085700749839,0.3000959670064249,0.50539740476553,0.3000959670064249,0.50539740476553,0.7750085700749839,0.7347249966273811,0.15132261907346564,0.00026845243088687444,1.0196929585903731,0.08808005962459714,0.08808005962459714,0.22172710316572453
